Diamond,Expected GIA,Actual GIA,Expected Score,Actual Score,Difference
21v,VS2,VS2,4.15,4.744957464650984,0.5949574646509834
97,VVS1,VVS1,1.1,1.5504888238624102,0.45048882386241007
82,VS1,VS2,3.8,4.11993924345086,0.3199392434508601
61v,VS2,VS1,4.15,3.6831611071229085,0.4668388928770919
120Daves,VS2,SI1,4.9,5.011183906514227,0.11118390651422683
73v,I1,I1,7.25,7.752037057260289,0.5020370572602886
99,I1,I1,7.4,7.039909042606177,0.36009095739382335
5?,I2,I1,8.2,7.868370077726606,0.33162992227339316
93,VVS1,VVS2,1,2.011183906514227,1.0111839065142272
89v,VVS2,VVS1,2.3,1.7516743675837525,0.5483256324162473
103,I1,I2,7.8,8.066569500349182,0.26656950034918214
104,I1,I1,7.15,7.642816700733421,0.492816700733421
105,I1,I1,7.55,7.804820237218406,0.2548202372184063
107,I1,I1,7.6,7.8782781612620445,0.27827816126204485
38v,I2,I2,8.5,8.033380966193455,0.4666190338065448
8?,I2,I3,8.85,9.020401704923778,0.17040170492377804
142,I3,I2,9.06,8.972063425196065,0.08793657480393513
146,I3,I2,8.99,8.992109084744452,0.002109084744452261
